date,date_bet,bet_delay,bsp_reconciled,complete,inplay,number_of_winners,number_of_runners,number_of_active_runners,last_match_time,total_matched,total_available,cross_matching,runners_voidable,version,status
2017-04-28T10:08:12.999264,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,0.0,False,False,1631986485,OPEN
2017-04-28T22:08:17.749126,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,534.735,False,False,1632142133,OPEN
2017-04-29T10:08:29.985895,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,534.735,False,False,1632142133,OPEN
2017-04-29T22:08:14.472575,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,532.575,False,False,1634059299,OPEN
2017-04-30T10:08:23.228161,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,534.96,False,False,1634059299,OPEN
2017-04-30T22:08:14.220738,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,534.285,False,False,1634059299,OPEN
2017-05-01T10:08:21.682246,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,533.9250000000001,False,False,1634059299,OPEN
2017-05-01T22:08:29.804152,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,532.035,False,False,1634059299,OPEN
2017-05-02T10:08:13.800214,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,531.9449999999999,False,False,1634059299,OPEN
2017-05-02T22:08:14.495841,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,591.9355139999999,False,False,1634059299,OPEN
2017-05-03T10:08:21.469796,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,591.8,False,False,1634059299,OPEN
2017-05-03T22:10:52.836675,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,591.0999999999999,False,False,1634059299,OPEN
2017-05-04T10:08:23.316581,2017-06-08T06:00:00.000Z,0,False,False,False,1,5,5,,0.0,589.9,False,False,1634059299,OPEN
